name,address1,city,state,zip,phone,logoUrl,website,facebook,twitter,instagram
1766 Brewing Co,5 NH-25,Plymouth,NH,03264,(603) 236-6850,http://www.granitestatebrewersassociation.org/wp-content/uploads/2018/07/1766-LogoTar-3x3-01-150x150.png,https://www.1766brewing.com/,https://www.facebook.com/Sublimebrewingcompany/,https://twitter.com/sublimebrewing1/,https://www.instagram.com/sublimebrewingcompany/
603 Brewery,"12 Liberty Drive,  Unit 7",Londonderry,NH,03053,(603) 630-7745,http://www.granitestatebrewersassociation.org/wp-content/uploads/2013/11/603_logo-223x300.jpg,http://www.603brewery.com/,https://www.facebook.com/603Brewery,https://twitter.com/603Brewery,https://www.instagram.com/603brewery/
Able Ebenezer Brewing Co.,31 Columbia Circle,Merrimack,NH,03054,(844) 2BE�ABLE,,http://www.ableebenezer.com/,,,
Aigean Ales,250 Commercial St Unit 2001,Manchester,NH,03101,(603) 518-8550,,http://www.aigeanales.com/,,,
Amoskeag Beverages,510 Hall Street,Bow,NH,03304,1-800 639-9033,,http://amoskeagbeverages.com/,,,
Anheuser-Busch InBev � Merrimack,221 Daniel Webster Hwy,Merrimack,NH,03054,(603) 595-1202,,http://www.anheuser-busch.com/,,,
Ashuelot Brewing Company,101 Old County Road,Richmond,NH,03470,,,https://www.facebook.com/ashuelotbrewing/,,,
Backyard Brewery & Kitchen,1211 S. Mammoth Rd,Manchester,NH,03103,(603) 623-3545,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/Backyard-Brewery-300x128.png,http://backyardbrewerynh.com/,https://www.facebook.com/backyardbrewerynh/?ref=br_rs,,https://www.instagram.com/backyardbrewerynh/
Bad Lab Beer Co.,460 High St,Somersworth,NH,03878,(603) 842-5822,http://www.granitestatebrewersassociation.org/wp-content/uploads/2016/06/BadLab-.jpeg,http://www.badlabbeer.com/,https://www.facebook.com/badlabbeer/,https://twitter.com/BadLabBeer,https://www.instagram.com/badlabbeer/
Bayside Distributing,277 NH-125,Brentwood,NH,03833,(603) 679-2302,,http://www.baysidenh.com/,,,
